Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
sp|O43301|HS12A_HUMAN;tr|A0A1B0GTF3|A0A1B0GTF3_HUMAN;tr|K7ENF6|K7ENF6_HUMAN;tr|K7ELE6|K7ELE6_HUMAN;tr|Q5JX83|Q5JX83_HUMAN;sp|Q96MM6|HS12B_HUMAN	sp|O43301|HS12A_HUMAN;tr|A0A1B0GTF3|A0A1B0GTF3_HUMAN	17;17;4;1;1;1	17;17;4;1;1;1	17;17;4;1;1;1	sp|O43301|HS12A_HUMAN Heat shock 70 kDa protein 12A OS=Homo sapiens OX=9606 GN=HSPA12A PE=1 SV=2;tr|A0A1B0GTF3|A0A1B0GTF3_HUMAN Heat shock 70 kDa protein 12A OS=Homo sapiens OX=9606 GN=HSPA12A PE=1 SV=1	6	17	17	17	29.6	29.6	29.6	74.977	675	675;692;136;119;600;686	0	140.5	879030000	20				111	656;941;1398;1819;1908;2034;2150;2833;2920;3942;3946;5719;6090;6654;6688;6689;7574	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	658;945;1405;1828;1918;2044;2161;2845;2932;3963;3967;5761;6135;6705;6739;6740;7631	749;1089;1625;1626;2087;2185;2337;2469;3276;3370;4623;4628;6770;7201;7859;7902;7903;7904;8966	903;904;1314;1943;1944;2493;2613;2797;2952;3916;4036;5545;5550;8131;8666;9455;9511;9512;9513;9514;10828;10829	904;1314;1944;2493;2613;2797;2952;3916;4036;5545;5550;8131;8666;9455;9512;9513;10829			-1;-1;-1;-1;-1;-1
tr|B4DT28|B4DT28_HUMAN;sp|O43390|HNRPR_HUMAN	tr|B4DT28|B4DT28_HUMAN;sp|O43390|HNRPR_HUMAN	3;3	1;1	1;1	tr|B4DT28|B4DT28_HUMAN Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1;sp|O43390|HNRPR_HUMAN Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1	2	3	1	1	6.3	2.4	2.4	55.717	494	494;633	0.002809	6.4042	5581800	1				112	247;3349;7356	False;False;True	247;3367;7411	283;3894;8722	347;4674;10529	347;4674;10529			-1;-1
sp|O43396|TXNL1_HUMAN;tr|K7ER96|K7ER96_HUMAN;tr|K7EML9|K7EML9_HUMAN	sp|O43396|TXNL1_HUMAN;tr|K7ER96|K7ER96_HUMAN	3;3;1	3;3;1	3;3;1	sp|O43396|TXNL1_HUMAN Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3;tr|K7ER96|K7ER96_HUMAN Thioredoxin-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=1	3	3	3	3	10.7	10.7	10.7	32.251	289	289;281;138	0	17.932	32698000	4				113	2793;2837;6042	True;True;True	2805;2849;6086	3236;3280;7147	3865;3866;3921;8603	3866;3921;8603			-1;-1;-1
sp|O43399|TPD54_HUMAN;tr|A0A087WYR3|A0A087WYR3_HUMAN	sp|O43399|TPD54_HUMAN;tr|A0A087WYR3|A0A087WYR3_HUMAN	2;2	2;2	2;2	sp|O43399|TPD54_HUMAN Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=2;tr|A0A087WYR3|A0A087WYR3_HUMAN Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=1	2	2	2	2	5.8	5.8	5.8	22.237	206	206;222	0	63.355	23277000	3				114	3598;6700	True;True	3617;6751	4198;7918	5026;9537;9538	5026;9537			-1;-1
tr|M0R1B0|M0R1B0_HUMAN;sp|O43402|EMC8_HUMAN	tr|M0R1B0|M0R1B0_HUMAN;sp|O43402|EMC8_HUMAN	1;1	1;1	1;1	tr|M0R1B0|M0R1B0_HUMAN ER membrane protein complex subunit 8 (Fragment) OS=Homo sapiens OX=9606 GN=EMC8 PE=1 SV=1;sp|O43402|EMC8_HUMAN ER membrane protein complex subunit 8 OS=Homo sapiens OX=9606 GN=EMC8 PE=1 SV=1	2	1	1	1	16	16	16	11.728	100	100;210	0.0034223	6.2709	5170400	1				115	6303	True	6348	7451	8961	8961			-1;-1
tr|J3KPK1|J3KPK1_HUMAN;tr|C9JFZ1|C9JFZ1_HUMAN;tr|A0A0D9SGJ6|A0A0D9SGJ6_HUMAN;sp|O43426|SYNJ1_HUMAN;tr|J3KQV8|J3KQV8_HUMAN;tr|C9JW66|C9JW66_HUMAN	tr|J3KPK1|J3KPK1_HUMAN;tr|C9JFZ1|C9JFZ1_HUMAN;tr|A0A0D9SGJ6|A0A0D9SGJ6_HUMAN;sp|O43426|SYNJ1_HUMAN;tr|J3KQV8|J3KQV8_HUMAN;tr|C9JW66|C9JW66_HUMAN	13;13;13;13;13;9	13;13;13;13;13;9	13;13;13;13;13;9	tr|J3KPK1|J3KPK1_HUMAN Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=2;tr|C9JFZ1|C9JFZ1_HUMAN Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=1;tr|A0A0D9SGJ6|A0A0D9SGJ6_HUMAN Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=1;sp|O4	6	13	13	13	14.1	14.1	14.1	139.91	1264	1264;1350;1526;1573;1612;695	0	87.824	414760000	12				116	437;1179;2383;2786;3321;3513;3666;4559;5151;5511;5735;6066;6522	True;True;True;True;True;True;True;True;True;True;True;True;True	437;1185;2395;2798;3339;3532;3685;4581;5189;5553;5777;6111;6570	490;1373;2743;3227;3859;4103;4272;5355;6078;6511;6788;7175;7711	583;1657;3279;3855;4625;4923;5112;6433;7308;7823;7824;8151;8636;9275	583;1657;3279;3855;4625;4923;5112;6433;7308;7824;8151;8636;9275			-1;-1;-1;-1;-1;-1
tr|E9PHY5|E9PHY5_HUMAN;sp|O43491|E41L2_HUMAN;tr|E9PII3|E9PII3_HUMAN;tr|E9PK52|E9PK52_HUMAN;tr|A0A2R8Y5B3|A0A2R8Y5B3_HUMAN;tr|Q6ZSX4|Q6ZSX4_HUMAN;tr|E9PN54|E9PN54_HUMAN;tr|Q6R5J7|Q6R5J7_HUMAN	tr|E9PHY5|E9PHY5_HUMAN;sp|O43491|E41L2_HUMAN;tr|E9PII3|E9PII3_HUMAN;tr|E9PK52|E9PK52_HUMAN;tr|A0A2R8Y5B3|A0A2R8Y5B3_HUMAN	4;4;3;3;3;1;1;1	2;2;1;1;1;1;1;1	2;2;1;1;1;1;1;1	tr|E9PHY5|E9PHY5_HUMAN Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1;sp|O43491|E41L2_HUMAN Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1;tr|E9PII3|E9PII3_HUMAN Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN	8	4	2	2	5.1	3.1	3.1	104.36	935	935;1005;706;811;824;201;240;383	0	14.096	35720000	2				117	1871;2261;4380;6403	False;True;False;True	1881;2272;4402;6448	2144;2599;2600;5128;7572	2559;3110;3111;6155;9113	2559;3110;6155;9113			-1;-1;-1;-1;-1;-1;-1;-1
sp|O43581|SYT7_HUMAN;tr|F5H8G7|F5H8G7_HUMAN	sp|O43581|SYT7_HUMAN;tr|F5H8G7|F5H8G7_HUMAN	4;2	4;2	4;2	sp|O43581|SYT7_HUMAN Synaptotagmin-7 OS=Homo sapiens OX=9606 GN=SYT7 PE=1 SV=3;tr|F5H8G7|F5H8G7_HUMAN Synaptotagmin-7 (Fragment) OS=Homo sapiens OX=9606 GN=SYT7 PE=1 SV=1	2	4	4	4	21.6	21.6	21.6	45.501	403	403;175	0	38.965	80766000	6				118	543;738;5077;6207	True;True;True;True	545;740;5113;6252	616;843;5991;7338	743;1017;1018;7204;8831;8832	743;1018;7204;8832			-1;-1
tr|H3BLV5|H3BLV5_HUMAN;tr|A0A1B0GWD1|A0A1B0GWD1_HUMAN;sp|O43602|DCX_HUMAN;tr|A8K340|A8K340_HUMAN;tr|G5E9L9|G5E9L9_HUMAN;tr|A0A0U1RR70|A0A0U1RR70_HUMAN;sp|Q8N568|DCLK2_HUMAN	tr|H3BLV5|H3BLV5_HUMAN;tr|A0A1B0GWD1|A0A1B0GWD1_HUMAN;sp|O43602|DCX_HUMAN;tr|A8K340|A8K340_HUMAN;tr|G5E9L9|G5E9L9_HUMAN;tr|A0A0U1RR70|A0A0U1RR70_HUMAN;sp|Q8N568|DCLK2_HUMAN	2;2;2;2;1;1;1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	tr|H3BLV5|H3BLV5_HUMAN Neuronal migration protein doublecortin OS=Homo sapiens OX=9606 GN=DCX PE=1 SV=2;tr|A0A1B0GWD1|A0A1B0GWD1_HUMAN Neuronal migration protein doublecortin OS=Homo sapiens OX=9606 GN=DCX PE=1 SV=1;sp|O43602|DCX_HUMAN Neuronal migration p	7	2	1	1	7.8	4.7	4.7	40.044	360	360;361;365;366;695;716;766	0.0007776	7.184	12915000	1				119	5233;6336	False;True	5273;6381	6174;7487	7422;9007	7422;9007			-1;-1;-1;-1;-1;-1;-1
sp|O43681|ASNA_HUMAN;tr|K7ERW9|K7ERW9_HUMAN;tr|A0A087WXS7|A0A087WXS7_HUMAN	sp|O43681|ASNA_HUMAN;tr|K7ERW9|K7ERW9_HUMAN;tr|A0A087WXS7|A0A087WXS7_HUMAN	3;2;2	3;2;2	3;2;2	sp|O43681|ASNA_HUMAN ATPase ASNA1 OS=Homo sapiens OX=9606 GN=ASNA1 PE=1 SV=2;tr|K7ERW9|K7ERW9_HUMAN Arsenical pump-driving ATPase (Fragment) OS=Homo sapiens OX=9606 GN=ASNA1 PE=1 SV=1;tr|A0A087WXS7|A0A087WXS7_HUMAN ATPase ASNA1 OS=Homo sapiens OX=9606 GN=A	3	3	3	3	17.2	17.2	17.2	38.792	348	348;200;331	0	18.207	34296000	5				120	35;4124;7754	True;True;True	35;4145;7811	37;4848;9175	46;47;48;5809;11088	46;5809;11088			-1;-1;-1
tr|J3KN37|J3KN37_HUMAN;sp|O43687|AKA7A_HUMAN;sp|Q9P0M2|AKA7G_HUMAN	tr|J3KN37|J3KN37_HUMAN;sp|O43687|AKA7A_HUMAN;sp|Q9P0M2|AKA7G_HUMAN	1;1;1	1;1;1	1;1;1	tr|J3KN37|J3KN37_HUMAN A-kinase anchor protein 7 isoform gamma OS=Homo sapiens OX=9606 GN=AKAP7 PE=1 SV=1;sp|O43687|AKA7A_HUMAN A-kinase anchor protein 7 isoforms alpha and beta OS=Homo sapiens OX=9606 GN=AKAP7 PE=1 SV=4;sp|Q9P0M2|AKA7G_HUMAN A-kinase anch	3	1	1	1	14.3	14.3	14.3	9.3362	84	84;104;348	0.00082305	8.8445	14433000	2				121	747	True	749	854	1037;1038	1038			-1;-1;-1
sp|O43707|ACTN4_HUMAN;tr|F5GXS2|F5GXS2_HUMAN;tr|H7C144|H7C144_HUMAN;tr|K7EP19|K7EP19_HUMAN	sp|O43707|ACTN4_HUMAN;tr|F5GXS2|F5GXS2_HUMAN	12;6;4;2	5;4;2;2	4;4;2;2	sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2;tr|F5GXS2|F5GXS2_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	4	12	5	4	15.6	6.1	4.9	104.85	911	911;521;342;105	0	33.976	98545000	6				122	265;329;850;959;1335;1622;2184;3358;3701;4184;6518;7089	True;False;False;True;False;True;True;True;False;False;False;False	265;329;853;963;1342;1630;2195;3377;3720;4205;6566;7143	302;375;982;1108;1109;1554;1873;2508;3910;4313;4911;7707;8402	368;454;455;1184;1339;1340;1864;2237;2238;2996;4693;4694;5167;5883;9271;10137	368;454;1184;1340;1864;2238;2996;4694;5167;5883;9271;10137			-1;-1;-1;-1
sp|Q15438|CYH1_HUMAN;tr|A0A0D9SFG6|A0A0D9SFG6_HUMAN;sp|Q99418|CYH2_HUMAN;sp|O43739|CYH3_HUMAN	sp|Q15438|CYH1_HUMAN;tr|A0A0D9SFG6|A0A0D9SFG6_HUMAN;sp|Q99418|CYH2_HUMAN;sp|O43739|CYH3_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	sp|Q15438|CYH1_HUMAN Cytohesin-1 OS=Homo sapiens OX=9606 GN=CYTH1 PE=1 SV=1;tr|A0A0D9SFG6|A0A0D9SFG6_HUMAN Cytohesin-2 OS=Homo sapiens OX=9606 GN=CYTH2 PE=1 SV=1;sp|Q99418|CYH2_HUMAN Cytohesin-2 OS=Homo sapiens OX=9606 GN=CYTH2 PE=1 SV=2;sp|O43739|CYH3_HUM	4	1	1	1	2.8	2.8	2.8	46.412	398	398;400;400;400	0.0021583	6.5544	12549000	1				123	2170	True	2181	2493	2978	2978			-1;-1;-1;-1
sp|O43752|STX6_HUMAN	sp|O43752|STX6_HUMAN	1	1	1	sp|O43752|STX6_HUMAN Syntaxin-6 OS=Homo sapiens OX=9606 GN=STX6 PE=1 SV=1	1	1	1	1	4.3	4.3	4.3	29.176	255	255	0.00075643	6.9663	17138000	2				124	739	True	741	844	1019;1020	1019			-1
tr|B5MCD7|B5MCD7_HUMAN;sp|O43759|SNG1_HUMAN;tr|A2A283|A2A283_HUMAN;tr|F8WCE4|F8WCE4_HUMAN	tr|B5MCD7|B5MCD7_HUMAN;sp|O43759|SNG1_HUMAN;tr|A2A283|A2A283_HUMAN;tr|F8WCE4|F8WCE4_HUMAN	3;3;2;2	3;3;2;2	3;3;2;2	tr|B5MCD7|B5MCD7_HUMAN cDNA FLJ52856, highly similar to Synaptogyrin-1 OS=Homo sapiens OX=9606 GN=SYNGR1 PE=1 SV=1;sp|O43759|SNG1_HUMAN Synaptogyrin-1 OS=Homo sapiens OX=9606 GN=SYNGR1 PE=1 SV=2;tr|A2A283|A2A283_HUMAN Synaptogyrin-1 OS=Homo sapiens OX=9606	4	3	3	3	20.1	20.1	20.1	18.465	169	169;233;118;144	0	18.642	198780000	5				125	231;1104;4661	True;True;True	231;1110;4687	264;1280;5466	325;326;327;1544;6563	326;1544;6563			-1;-1;-1;-1
tr|Q96L30|Q96L30_HUMAN;sp|O43761|SNG3_HUMAN	tr|Q96L30|Q96L30_HUMAN;sp|O43761|SNG3_HUMAN	1;1	1;1	1;1	tr|Q96L30|Q96L30_HUMAN SYNGR3 protein OS=Homo sapiens OX=9606 GN=SYNGR3 PE=1 SV=1;sp|O43761|SNG3_HUMAN Synaptogyrin-3 OS=Homo sapiens OX=9606 GN=SYNGR3 PE=1 SV=2	2	1	1	1	6.9	6.9	6.9	15.164	145	145;229	0.00076687	7.0443	84402000	1				126	4660	True	4686	5465	6562	6562			-1;-1
tr|K7EMD6|K7EMD6_HUMAN;sp|O43765|SGTA_HUMAN	tr|K7EMD6|K7EMD6_HUMAN;sp|O43765|SGTA_HUMAN	1;1	1;1	1;1	tr|K7EMD6|K7EMD6_HUMAN Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Fragment) OS=Homo sapiens OX=9606 GN=SGTA PE=1 SV=1;sp|O43765|SGTA_HUMAN Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Homo sapiens O	2	1	1	1	9.3	9.3	9.3	17.792	162	162;313	0.0034364	6.2797	0	1				127	313	True	313	358	433	433			-1;-1
sp|O43768|ENSA_HUMAN;tr|A6NMQ3|A6NMQ3_HUMAN;tr|Q5T5H1|Q5T5H1_HUMAN;tr|H3BQ52|H3BQ52_HUMAN;tr|H3BTD3|H3BTD3_HUMAN;sp|P56211|ARP19_HUMAN;tr|A0A1W2PRU0|A0A1W2PRU0_HUMAN;tr|H3BMD8|H3BMD8_HUMAN	sp|O43768|ENSA_HUMAN;tr|A6NMQ3|A6NMQ3_HUMAN;tr|Q5T5H1|Q5T5H1_HUMAN;tr|H3BQ52|H3BQ52_HUMAN;tr|H3BTD3|H3BTD3_HUMAN;sp|P56211|ARP19_HUMAN;tr|A0A1W2PRU0|A0A1W2PRU0_HUMAN;tr|H3BMD8|H3BMD8_HUMAN	2;2;2;1;1;1;1;1	2;2;2;1;1;1;1;1	2;2;2;1;1;1;1;1	sp|O43768|ENSA_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1;tr|A6NMQ3|A6NMQ3_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=2;tr|Q5T5H1|Q5T5H1_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1;tr|H3BQ52	8	2	2	2	28.1	28.1	28.1	13.389	121	121;140;187;71;72;112;119;131	0	60.131	61956000	3				128	6131;7683	True;True	6176;7740	7249;9094	8721;8722;10991	8722;10991			-1;-1;-1;-1;-1;-1;-1;-1
sp|O43776|SYNC_HUMAN	sp|O43776|SYNC_HUMAN	1	1	1	sp|O43776|SYNC_HUMAN Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS PE=1 SV=1	1	1	1	1	3.8	3.8	3.8	62.942	548	548	0.00086505	11.298	17606000	1				129	4429	True	4451	5183	6213	6213			-1
tr|F8WDS9|F8WDS9_HUMAN;tr|E9PHS0|E9PHS0_HUMAN;sp|O43813|LANC1_HUMAN	tr|F8WDS9|F8WDS9_HUMAN;tr|E9PHS0|E9PHS0_HUMAN;sp|O43813|LANC1_HUMAN	3;3;3	3;3;3	3;3;3	tr|F8WDS9|F8WDS9_HUMAN Glutathione S-transferase LANCL1 OS=Homo sapiens OX=9606 GN=LANCL1 PE=1 SV=1;tr|E9PHS0|E9PHS0_HUMAN Glutathione S-transferase LANCL1 (Fragment) OS=Homo sapiens OX=9606 GN=LANCL1 PE=1 SV=1;sp|O43813|LANC1_HUMAN Glutathione S-transfera	3	3	3	3	25.6	25.6	25.6	9.2824	82	82;196;399	0	16.771	43134000	4				130	208;1457;3169	True;True;True	208;1464;3187	241;1696;1697;3682	297;2024;2025;4416	297;2024;4416			-1;-1;-1
sp|O43815|STRN_HUMAN;tr|M0QXN2|M0QXN2_HUMAN;tr|M0R2A7|M0R2A7_HUMAN;tr|G3V3G7|G3V3G7_HUMAN;tr|M0QYS2|M0QYS2_HUMAN;tr|M0R0P4|M0R0P4_HUMAN;tr|M0R0W8|M0R0W8_HUMAN;tr|F5GYK2|F5GYK2_HUMAN;sp|Q9NRL3|STRN4_HUMAN	sp|O43815|STRN_HUMAN;tr|M0QXN2|M0QXN2_HUMAN;tr|M0R2A7|M0R2A7_HUMAN;tr|G3V3G7|G3V3G7_HUMAN;tr|M0QYS2|M0QYS2_HUMAN;tr|M0R0P4|M0R0P4_HUMAN;tr|M0R0W8|M0R0W8_HUMAN;tr|F5GYK2|F5GYK2_HUMAN;sp|Q9NRL3|STRN4_HUMAN	2;1;1;1;1;1;1;1;1	2;1;1;1;1;1;1;1;1	1;0;0;0;0;0;0;0;0	sp|O43815|STRN_HUMAN Striatin OS=Homo sapiens OX=9606 GN=STRN PE=1 SV=4;tr|M0QXN2|M0QXN2_HUMAN Striatin-4 (Fragment) OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=1;tr|M0R2A7|M0R2A7_HUMAN Striatin-4 (Fragment) OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=2;tr|G3V3G	9	2	2	1	4	4	2.7	86.131	780	780;73;103;112;114;139;180;634;753	0	13.582	24251000	2				131	388;4758	True;True	388;4787	437;5573	522;6690	522;6690			-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|O43837|IDH3B_HUMAN;tr|A0A087WZN1|A0A087WZN1_HUMAN;tr|A0A0D9SG66|A0A0D9SG66_HUMAN;tr|A0A087X2E5|A0A087X2E5_HUMAN	sp|O43837|IDH3B_HUMAN;tr|A0A087WZN1|A0A087WZN1_HUMAN;tr|A0A0D9SG66|A0A0D9SG66_HUMAN;tr|A0A087X2E5|A0A087X2E5_HUMAN	3;3;2;2	3;3;2;2	3;3;2;2	sp|O43837|IDH3B_HUMAN Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3B PE=1 SV=2;tr|A0A087WZN1|A0A087WZN1_HUMAN Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3B PE=1 SV=1;tr|A	4	3	3	3	12.5	12.5	12.5	42.183	385	385;387;145;376	0	22.188	286740000	4				132	1077;2595;3870	True;True;True	1083;2607;3890	1247;1248;2994;4527	1504;1505;1506;3580;5420	1505;3580;5420			-1;-1;-1;-1
tr|H0Y875|H0Y875_HUMAN;sp|O43852|CALU_HUMAN	tr|H0Y875|H0Y875_HUMAN;sp|O43852|CALU_HUMAN	1;1	1;1	1;1	tr|H0Y875|H0Y875_HUMAN Calumenin (Fragment) OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=1;sp|O43852|CALU_HUMAN Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2	2	1	1	1	15.6	15.6	15.6	17.26	147	147;315	0.0007722	7.1162	7105000	1				133	4629	True	4652	5429	6525	6525			-1;-1
sp|O43865|SAHH2_HUMAN	sp|O43865|SAHH2_HUMAN	17	17	11	sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2	1	17	17	11	36.8	36.8	24.5	58.951	530	530	0	140.83	996350000	19				134	1374;1741;2193;3525;3569;3570;3741;5164;5401;5402;5558;6052;6147;6667;7510;7740;7822	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1381;1750;2204;3544;3588;3589;3761;5203;5443;5444;5600;6096;6192;6718;7566;7797;7879	1599;2005;2517;4117;4118;4166;4167;4365;6093;6384;6385;6569;7158;7268;7873;8894;9157;9256	1913;2397;3008;4937;4938;4991;4992;5231;7328;7676;7677;7902;8617;8618;8745;9472;9473;10743;11067;11184	1913;2397;3008;4938;4991;4992;5231;7328;7676;7677;7902;8618;8745;9472;10743;11067;11184			-1
sp|O60220|TIM8A_HUMAN	sp|O60220|TIM8A_HUMAN	3	3	3	sp|O60220|TIM8A_HUMAN Mitochondrial import inner membrane translocase subunit Tim8 A OS=Homo sapiens OX=9606 GN=TIMM8A PE=1 SV=1	1	3	3	3	28.9	28.9	28.9	10.998	97	97	0	18.472	61893000	5				135	159;1801;1802	True;True;True	159;1810;1811	185;186;2067;2068;2069	231;232;2471;2472;2473	232;2472;2473			-1
tr|C9IZQ6|C9IZQ6_HUMAN;tr|H7BXZ5|H7BXZ5_HUMAN;sp|O60229|KALRN_HUMAN;tr|J3QSW6|J3QSW6_HUMAN;tr|H7C0I9|H7C0I9_HUMAN	tr|C9IZQ6|C9IZQ6_HUMAN;tr|H7BXZ5|H7BXZ5_HUMAN;sp|O60229|KALRN_HUMAN;tr|J3QSW6|J3QSW6_HUMAN	3;3;3;3;1	3;3;3;3;1	3;3;3;3;1	tr|C9IZQ6|C9IZQ6_HUMAN HCG2022551, isoform CRA_j OS=Homo sapiens OX=9606 GN=KALRN PE=1 SV=1;tr|H7BXZ5|H7BXZ5_HUMAN Kalirin (Fragment) OS=Homo sapiens OX=9606 GN=KALRN PE=1 SV=1;sp|O60229|KALRN_HUMAN Kalirin OS=Homo sapiens OX=9606 GN=KALRN PE=1 SV=2;tr|J3Q	5	3	3	3	2.7	2.7	2.7	191.24	1654	1654;2955;2985;2986;268	0	18.587	13852000	4				136	417;599;6914	True;True;True	417;601;6968	469;682;8190	561;562;819;9867	562;819;9867			-1;-1;-1;-1;-1
sp|O60262|GBG7_HUMAN;tr|K7ESC6|K7ESC6_HUMAN	sp|O60262|GBG7_HUMAN;tr|K7ESC6|K7ESC6_HUMAN	2;1	2;1	2;1	sp|O60262|GBG7_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7 OS=Homo sapiens OX=9606 GN=GNG7 PE=1 SV=1;tr|K7ESC6|K7ESC6_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7 OS=Homo sapiens OX=9606 GN=GNG7 PE=1 S	2	2	2	2	33.8	33.8	33.8	7.5217	68	68;36	0	11.764	121740000	1				137	3518;4954	True;True	3537;4990	4108;5828	4928;7006	4928;7006			-1;-1
sp|O60268|K0513_HUMAN;tr|H3BMU3|H3BMU3_HUMAN;tr|H3BNA7|H3BNA7_HUMAN	sp|O60268|K0513_HUMAN;tr|H3BMU3|H3BMU3_HUMAN	3;2;1	3;2;1	3;2;1	sp|O60268|K0513_HUMAN Uncharacterized protein KIAA0513 OS=Homo sapiens OX=9606 GN=KIAA0513 PE=1 SV=1;tr|H3BMU3|H3BMU3_HUMAN Uncharacterized protein KIAA0513 (Fragment) OS=Homo sapiens OX=9606 GN=KIAA0513 PE=1 SV=1	3	3	3	3	9.2	9.2	9.2	46.638	411	411;198;113	0	18.047	78681000	3				138	2845;5315;5757	True;True;True	2857;5356;5799	3288;6280;6813	3930;7554;8181	3930;7554;8181			-1;-1;-1
tr|A0A0G2JMZ6|A0A0G2JMZ6_HUMAN;sp|O60282|KIF5C_HUMAN;sp|Q12840|KIF5A_HUMAN;tr|J3KNA1|J3KNA1_HUMAN	tr|A0A0G2JMZ6|A0A0G2JMZ6_HUMAN;sp|O60282|KIF5C_HUMAN;sp|Q12840|KIF5A_HUMAN;tr|J3KNA1|J3KNA1_HUMAN	6;6;4;3	6;6;4;3	4;4;2;1	tr|A0A0G2JMZ6|A0A0G2JMZ6_HUMAN Kinesin-like protein (Fragment) OS=Homo sapiens OX=9606 GN=KIF5C PE=1 SV=1;sp|O60282|KIF5C_HUMAN Kinesin heavy chain isoform 5C OS=Homo sapiens OX=9606 GN=KIF5C PE=1 SV=1;sp|Q12840|KIF5A_HUMAN Kinesin heavy chain isoform 5A O	4	6	6	4	8.8	8.8	6.3	98.679	860	860;957;1032;943	0	61.153	105920000	7				139	652;2684;3927;5433;6022;7817	True;True;True;True;True;True	654;2696;3947;5475;6066;7874	745;3109;4603;6423;7123;7124;9251	899;3716;5518;7721;8574;8575;11178	899;3716;5518;7721;8575;11178			-1;-1;-1;-1
