Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs	Sequence coverage Sample1-rep-1 [%]	Sequence coverage Sample1-rep-3 [%]	Sequence coverage Sample1-rep-4 [%]	Sequence coverage Sample2-rep-1 [%]	Sequence coverage Sample2-rep-3 [%]	Sequence coverage Sample2-rep-4 [%]	Sequence coverage Sample3-rep-2 [%]	Sequence coverage Sample3-rep-3 [%]	Sequence coverage Sample3-rep-4 [%]
tr|A0A2R8Y6G6|A0A2R8Y6G6_HUMAN;sp|P06733|ENOA_HUMAN;tr|A0A2R8Y879|A0A2R8Y879_HUMAN;tr|A0A2R8YEM5|A0A2R8YEM5_HUMAN;tr|K7EM90|K7EM90_HUMAN;tr|A0A2R8Y798|A0A2R8Y798_HUMAN;tr|K7ERS8|K7ERS8_HUMAN;tr|A0A2R8YEG5|A0A2R8YEG5_HUMAN	tr|A0A2R8Y6G6|A0A2R8Y6G6_HUMAN;sp|P06733|ENOA_HUMAN	11;11;4;4;4;3;3;3	10;10;3;3;3;2;2;2	10;10;3;3;3;2;2;2	tr|A0A2R8Y6G6|A0A2R8Y6G6_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=1;sp|P06733|ENOA_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	8	11	10	10	31.1	31.1	31.1	47.327	434	434;434;125;171;195;70;83;101	0	132.11	941020000	30				260	88;90;736;1485;1486;1788;2107;3051;4350;4442;5656	False;True;True;True;True;True;True;True;True;True;True	87;89;748;1506;1507;1816;2139;3105;3106;4458;4551;5782	106;108;109;891;1776;1777;1778;1779;1780;1781;1782;1783;1784;1785;1786;1787;1788;1789;1790;1791;2142;2504;3697;3698;5383;5489;6992	124;125;126;127;128;130;131;1082;2173;2174;2175;2176;2177;2178;2179;2180;2181;2182;2183;2184;2185;2186;2187;2188;2189;2190;2191;2192;2193;2638;3082;4568;4569;6651;6776;8643;8644	125;131;1082;2183;2191;2638;3082;4568;6651;6776;8644	35	97	-1;-1;-1;-1;-1;-1;-1;-1	3.8	2.4	5.8	7.2	7.2	7.2	9.2	9.2	9.2
sp|P06748|NPM_HUMAN;tr|E5RGW4|E5RGW4_HUMAN;tr|E5RI98|E5RI98_HUMAN	sp|P06748|NPM_HUMAN	3;1;1	3;1;1	3;1;1	sp|P06748|NPM_HUMAN Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2	3	3	3	3	14.6	14.6	14.6	32.575	294	294;59;111	0	31.809	55721000	3				261	1814;3609;5368	True;True;True	1842;3692;5489	2169;4393;6644	2669;5416;8211	2669;5416;8211			-1;-1;-1	0	0	0	4.2	6.3	4.2	4.2	4.2	6.3
sp|P06756|ITAV_HUMAN	sp|P06756|ITAV_HUMAN	1	1	1	sp|P06756|ITAV_HUMAN Integrin alpha-V OS=Homo sapiens OX=9606 GN=ITGAV PE=1 SV=2	1	1	1	1	3	3	3	116.04	1048	1048	0.00086356	7.307	8390100	1				262	1412	TRUE	1432	1689	2056	2056			-1	12.9	5.4	19.2	30.4	36.6	36.6	41.5	36.6	28.6
sp|P07195|LDHB_HUMAN;tr|A8MW50|A8MW50_HUMAN;tr|A0A3B3IS95|A0A3B3IS95_HUMAN;tr|F5H793|F5H793_HUMAN;tr|C9J7H8|C9J7H8_HUMAN;tr|F5H5G7|F5H5G7_HUMAN;tr|F5H155|F5H155_HUMAN;tr|A0A087WUM2|A0A087WUM2_HUMAN;tr|G3XAP5|G3XAP5_HUMAN;tr|F5H245|F5H245_HUMAN;sp|Q6ZMR3|LDH6A_HUMAN;sp|P07864|LDHC_HUMAN	sp|P07195|LDHB_HUMAN;tr|A8MW50|A8MW50_HUMAN;tr|A0A3B3IS95|A0A3B3IS95_HUMAN;tr|F5H793|F5H793_HUMAN;tr|C9J7H8|C9J7H8_HUMAN	6;4;4;3;3;1;1;1;1;1;1;1	6;4;4;3;3;1;1;1;1;1;1;1	5;3;3;3;3;0;0;0;0;0;0;0	sp|P07195|LDHB_HUMAN L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2;tr|A8MW50|A8MW50_HUMAN L-lactate dehydrogenase (Fragment) OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=1;tr|A0A3B3IS95|A0A3B3IS95_HUMAN L-lactate dehydrogenase OS=Hom	12	6	6	5	24.3	24.3	20.7	36.638	334	334;232;281;102;136;183;225;233;241;318;332;332	0	40.829	356940000	6				263	1760;1776;2471;2506;4519;5486	True;True;True;True;True;True	1787;1804;2514;2549;4629;5609	2107;2130;2971;3016;5580;6782	2595;2626;3669;3724;6885;8387	2595;2626;3669;3724;6885;8387			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	3.3	5.9	5.9	8.4	5.7	9.8	12.3	16.3	9.4
sp|P07196|NFL_HUMAN;tr|A0A0S2Z436|A0A0S2Z436_HUMAN;tr|A0A087X0W2|A0A087X0W2_HUMAN	sp|P07196|NFL_HUMAN;tr|A0A0S2Z436|A0A0S2Z436_HUMAN;tr|A0A087X0W2|A0A087X0W2_HUMAN	20;13;13	20;13;13	19;13;13	sp|P07196|NFL_HUMAN Neurofilament light polypeptide OS=Homo sapiens OX=9606 GN=NEFL PE=1 SV=3;tr|A0A0S2Z436|A0A0S2Z436_HUMAN Neurofilament light polypeptide (Fragment) OS=Homo sapiens OX=9606 GN=NEFL PE=1 SV=1;tr|A0A087X0W2|A0A087X0W2_HUMAN Neurofilament l	3	20	20	19	36.3	36.3	36.3	61.516	543	543;284;284	0	215.74	925640000	26				264	47;1072;1347;1501;1537;2562;2659;2660;2661;3184;3811;3966;4101;4279;4347;4824;5466;5923;5924;5974	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	47;1088;1367;1522;1558;2609;2708;2709;2710;3240;3904;4068;4204;4386;4455;4936;5589;6050;6051;6102	55;1302;1620;1808;1848;3110;3238;3239;3240;3241;3854;4693;4909;5081;5307;5380;5945;6758;6759;7305;7306;7361	62;1589;1969;1970;2216;2268;3837;3993;3994;3995;3996;3997;4759;4760;5800;6079;6282;6283;6561;6648;7330;8359;8360;9032;9033;9096	62;1589;1969;2216;2268;3837;3993;3995;3997;4759;5800;6079;6282;6561;6648;7330;8359;9032;9033;9096			-1;-1;-1	6.1	9.3	6.1	9.3	9.3	13.3	10	10	13.3
tr|E7EMV2|E7EMV2_HUMAN;tr|E7ESP9|E7ESP9_HUMAN;sp|P07197|NFM_HUMAN	tr|E7EMV2|E7EMV2_HUMAN;tr|E7ESP9|E7ESP9_HUMAN;sp|P07197|NFM_HUMAN	19;19;19	18;18;18	18;18;18	tr|E7EMV2|E7EMV2_HUMAN Neurofilament medium polypeptide OS=Homo sapiens OX=9606 GN=NEFM PE=1 SV=1;tr|E7ESP9|E7ESP9_HUMAN Neurofilament medium polypeptide OS=Homo sapiens OX=9606 GN=NEFM PE=1 SV=1;sp|P07197|NFM_HUMAN Neurofilament medium polypeptide OS=Homo	3	19	18	18	28.9	27.7	27.7	78.881	698	698;877;916	0	167.69	455170000	23				265	487;1091;1347;1874;2466;3233;3234;3974;4312;4478;4594;4595;4806;4825;4826;5382;5472;5702;5723	True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	495;1108;1367;1903;2509;3290;3291;4076;4419;4588;4705;4706;4918;4937;4938;5503;5595;5829;5850	592;1325;1620;2238;2966;3909;3910;4921;5344;5528;5672;5673;5923;5946;5947;5948;6661;6766;7041;7065	712;1613;1969;1970;2758;3663;4825;4826;4827;6093;6605;6824;6994;6995;6996;7304;7331;7332;7333;7334;8233;8368;8369;8714;8747	712;1613;1969;2758;3663;4825;4826;6093;6605;6824;6994;6995;7304;7331;7332;8233;8369;8714;8747			-1;-1;-1	4.2	11.6	4.2	23.7	23.7	23.7	16.3	23.7	23.7
tr|I3NI03|I3NI03_HUMAN;tr|I3L3U6|I3L3U6_HUMAN;tr|H7BZ94|H7BZ94_HUMAN;sp|P07237|PDIA1_HUMAN	tr|I3NI03|I3NI03_HUMAN;tr|I3L3U6|I3L3U6_HUMAN;tr|H7BZ94|H7BZ94_HUMAN;sp|P07237|PDIA1_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	tr|I3NI03|I3NI03_HUMAN Protein disulfide-isomerase (Fragment) OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=1;tr|I3L3U6|I3L3U6_HUMAN Protein disulfide-isomerase (Fragment) OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=1;tr|H7BZ94|H7BZ94_HUMAN Protein disulfide-isomera	4	1	1	1	9.6	9.6	9.6	18.513	166	166;188;464;508	0	19.88	5055200	1				266	5357	TRUE	5478	6630	8187	8187			-1;-1;-1;-1	15.1	3.4	15.1	15.3	15.3	15.3	15.3	15.3	15.3
sp|P07305|H10_HUMAN	sp|P07305|H10_HUMAN	3	3	3	sp|P07305|H10_HUMAN Histone H1.0 OS=Homo sapiens OX=9606 GN=H1F0 PE=1 SV=3	1	3	3	3	16	16	16	20.863	194	194	0	17.513	112180000	3				267	3340;4906;5428	True;True;True	3398;5019;5551	4048;6047;6719	5006;7452;8308	5006;7452;8308			-1	2.6	2.6	5.9	16.6	16.6	16.6	16.6	18.7	16.6
tr|Q5JP53|Q5JP53_HUMAN;sp|P07437|TBB5_HUMAN;tr|Q5ST81|Q5ST81_HUMAN;sp|A6NNZ2|TBB8L_HUMAN;sp|Q9H4B7|TBB1_HUMAN;CON__ENSEMBL:ENSBTAP00000025008	tr|Q5JP53|Q5JP53_HUMAN;sp|P07437|TBB5_HUMAN;tr|Q5ST81|Q5ST81_HUMAN	24;24;21;8;5;5	3;3;1;0;0;0	3;3;1;0;0;0	tr|Q5JP53|Q5JP53_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=1;sp|P07437|TBB5_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2;tr|Q5ST81|Q5ST81_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=1	6	24	3	3	62	12.7	12.7	47.766	426	426;444;372;444;451;536	0	32.422	620840000	5				268	284;393;1315;1464;1465;1523;1678;1679;2309;2397;2408;2434;2595;2744;2882;3277;3278;3603;3810;3868;4449;4862;5054;5982	False;True;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False	287;288;399;1333;1334;1484;1485;1544;1704;1705;2344;2345;2439;2450;2451;2477;2642;2794;2795;2933;2934;3334;3335;3684;3903;3967;4559;4975;5169;6110	350;351;352;353;354;355;356;479;480;1584;1585;1748;1749;1750;1832;2011;2012;2777;2778;2779;2780;2887;2898;2899;2926;3156;3157;3158;3337;3338;3339;3340;3498;3499;3500;3962;3963;4382;4383;4692;4770;5497;5989;5990;5991;5992;6221;6222;7370	424;425;426;427;428;429;430;431;432;574;575;1927;1928;2130;2131;2132;2133;2134;2135;2136;2137;2244;2245;2472;2473;2474;3430;3431;3432;3433;3434;3435;3569;3584;3585;3586;3618;3899;3900;3901;4120;4121;4122;4123;4124;4125;4319;4320;4321;4894;4895;4896;5403;5404;5405;5799;5897;6788;6789;6790;7382;7383;7384;7385;7386;7387;7388;7664;7665;9106	430;574;1928;2133;2136;2245;2472;2474;3434;3569;3585;3618;3900;4124;4321;4894;4896;5404;5799;5897;6789;7383;7665;9106	16;17;18;19;36;37;38	55;146;239;249;303;312;370	-1;-1;-1;-1;-1;-1	16.8	20.9	24.2	36.7	41.8	41.8	36.7	41.8	39.4
sp|P07900|HS90A_HUMAN;sp|Q14568|HS902_HUMAN;tr|G3V2J8|G3V2J8_HUMAN	sp|P07900|HS90A_HUMAN	10;3;2	5;1;1	5;1;1	sp|P07900|HS90A_HUMAN Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5	3	10	5	5	13.7	7.4	7.4	84.659	732	732;343;174	0	142.31	124380000	7				269	364;898;1123;1151;1188;1917;3833;4893;5929;5952	True;True;False;True;False;False;True;True;False;False	368;912;1140;1168;1205;1946;3927;5006;6056;6080	444;1093;1358;1391;1432;2292;4722;6033;7311;7337	533;1339;1340;1657;1695;1740;2826;5834;5835;7437;9041;9069	533;1339;1657;1695;1740;2826;5835;7437;9041;9069			-1;-1;-1	15.5	13	6.5	15	15.3	19.7	19.7	19.7	19.7
sp|P07954|FUMH_HUMAN	sp|P07954|FUMH_HUMAN	4	4	4	"sp|P07954|FUMH_HUMAN Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3"	1	4	4	4	11.8	11.8	11.8	54.636	510	510	0	31.794	69584000	6				270	22;274;2511;4443	True;True;True;True	22;277;2554;4552;4553	25;339;3027;5490;5491	30;410;3735;3736;6777;6778	30;410;3736;6777	39	368	-1	32.8	34.4	32.8	34.4	34.4	34.4	34.4	34.4	34.4
sp|P08183|MDR1_HUMAN;sp|P21439|MDR3_HUMAN	sp|P08183|MDR1_HUMAN;sp|P21439|MDR3_HUMAN	1;1	1;1	1;1	sp|P08183|MDR1_HUMAN ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3;sp|P21439|MDR3_HUMAN Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2	2	1	1	1	1	1	1	141.48	1280	1280;1286	0.00096339	10.167	2301500	2				271	5420	TRUE	5543	6710	8298;8299	8299			-1;-1	7.4	8.3	3.7	16.3	16.3	16.3	16.3	16.3	12.6
tr|F8VZI0|F8VZI0_HUMAN;sp|P08237|PFKAM_HUMAN;tr|A0A2R8Y891|A0A2R8Y891_HUMAN;tr|F8VSL1|F8VSL1_HUMAN;tr|F8VX13|F8VX13_HUMAN;tr|F8VNX2|F8VNX2_HUMAN;tr|F8VZQ1|F8VZQ1_HUMAN;tr|F8VP00|F8VP00_HUMAN	tr|F8VZI0|F8VZI0_HUMAN;sp|P08237|PFKAM_HUMAN;tr|A0A2R8Y891|A0A2R8Y891_HUMAN	5;5;5;1;1;1;1;1	5;5;5;1;1;1;1;1	4;4;4;1;1;1;1;1	"tr|F8VZI0|F8VZI0_HUMAN ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=10;sp|P08237|PFKAM_HUMAN ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=2;tr|A0A2R8Y891|A0A2R8Y891_HUM"	8	5	5	4	13.8	13.8	12.5	75.829	694	694;780;883;139;156;157;161;176	0	30.277	15884000	7				272	1706;1820;2126;3473;4929	True;True;True;True;True	1732;1848;2158;3541;5042	2046;2176;2525;4210;6070	2516;2676;2677;3103;5194;5195;7476	2516;2677;3103;5195;7476			-1;-1;-1;-1;-1;-1;-1;-1	33.7	53.3	40	59.6	50	50	50	59.6	41.1
sp|P08238|HS90B_HUMAN;sp|Q58FF8|H90B2_HUMAN;sp|Q58FF7|H90B3_HUMAN;tr|F8W026|F8W026_HUMAN;tr|Q96GW1|Q96GW1_HUMAN;tr|A0A1W2PRR1|A0A1W2PRR1_HUMAN	sp|P08238|HS90B_HUMAN	13;4;4;1;1;1	13;4;4;1;1;1	7;1;2;0;0;0	sp|P08238|HS90B_HUMAN Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	6	13	13	7	20.4	20.4	12.4	83.263	724	724;381;597;48;315;315	0	113.51	587910000	17				273	1123;1150;1188;1241;1917;1970;2861;3834;4572;5076;5929;5949;5952	True;True;True;True;True;True;True;True;True;True;True;True;True	1140;1167;1205;1259;1946;2000;2912;3928;4683;5191;6056;6077;6080	1358;1390;1432;1492;2292;2352;3476;4723;5644;6245;6246;7311;7334;7337	1657;1694;1740;1816;2826;2903;4294;5836;5837;6958;7693;7694;7695;7696;9041;9066;9069	1657;1694;1740;1816;2826;2903;4294;5836;6958;7695;9041;9066;9069			-1;-1;-1;-1;-1;-1	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2
tr|H7C4W3|H7C4W3_HUMAN;sp|P08247|SYPH_HUMAN	tr|H7C4W3|H7C4W3_HUMAN;sp|P08247|SYPH_HUMAN	2;2	2;2	2;2	tr|H7C4W3|H7C4W3_HUMAN Synaptophysin (Fragment) OS=Homo sapiens OX=9606 GN=SYP PE=1 SV=1;sp|P08247|SYPH_HUMAN Synaptophysin OS=Homo sapiens OX=9606 GN=SYP PE=1 SV=3	2	2	2	2	8.9	8.9	8.9	21.428	203	203;313	0	12.927	994680000	3				274	448;3381	True;True	456;3440;3441	545;4101;4102	651;5066;5067	651;5066	40	59	-1;-1	5.9	5.9	5.9	5.9	12.4	12.4	12.4	12.4	12.4
sp|P08559|ODPA_HUMAN;tr|Q5JPU3|Q5JPU3_HUMAN;sp|P29803|ODPAT_HUMAN;tr|Q5JPT9|Q5JPT9_HUMAN;tr|Q5JPU2|Q5JPU2_HUMAN;tr|Q5JPU0|Q5JPU0_HUMAN;tr|Q5JPU1|Q5JPU1_HUMAN	sp|P08559|ODPA_HUMAN	19;9;5;3;2;2;2	19;9;5;3;2;2;2	19;9;5;3;2;2;2	"sp|P08559|ODPA_HUMAN Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3"	7	19	19	19	49	49	49	43.295	390	390;109;388;203;121;180;205	0	171.02	603420000	39				275	17;18;1042;1092;1562;1805;2550;2801;2802;3089;3636;3637;3703;4440;4515;5163;5365;5945;5947	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	17;18;1058;1109;1583;1833;2597;2852;2853;3144;3722;3723;3794;4549;4625;5280;5486;6072;6073;6075	20;21;1272;1326;1875;2159;2160;3095;3406;3407;3408;3409;3739;4431;4432;4433;4434;4518;4519;4520;5487;5576;6358;6639;6640;7328;7329;7331	25;26;1554;1614;1615;2301;2657;2658;2659;3819;3820;4198;4199;4200;4201;4202;4203;4616;4617;4618;4619;5477;5478;5479;5480;5481;5482;5585;5586;5587;6774;6880;7837;8203;8204;8205;9060;9061;9063	25;26;1554;1614;2301;2658;3820;4199;4201;4619;5478;5479;5585;6774;6880;7837;8203;9061;9063	41	229	-1;-1;-1;-1;-1;-1;-1	3.7	4.6	4.6	13.7	8.3	8.3	13.7	13.7	13.7
sp|P08574|CY1_HUMAN	sp|P08574|CY1_HUMAN	5	5	5	"sp|P08574|CY1_HUMAN Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens OX=9606 GN=CYC1 PE=1 SV=3"	1	5	5	5	18.8	18.8	18.8	35.422	325	325	0	62.813	268880000	15				276	2;66;1744;1745;1956	True;True;True;True;True	2;66;1770;1771;1986	2;77;78;2086;2087;2088;2089;2336;2337	2;3;88;89;90;91;92;93;2566;2567;2568;2569;2570;2885;2886;2887	2;90;2566;2570;2886			-1	28.3	32.9	21.3	40	40	38.3	33.5	36.9	40
sp|P08670|VIME_HUMAN;tr|B0YJC4|B0YJC4_HUMAN;tr|B0YJC5|B0YJC5_HUMAN;sp|P17661|DESM_HUMAN;tr|A0A1B0GTT5|A0A1B0GTT5_HUMAN;CON__Q9NSB2;sp|Q9NSB2|KRT84_HUMAN;CON__Q9H552;sp|P05787|K2C8_HUMAN;CON__P05787;CON__P08729;sp|P41219|PERI_HUMAN;tr|H7C5W5|H7C5W5_HUMAN;CON__Q3KNV1;sp|P08729|K2C7_HUMAN;CON__Q9DCV7;CON__Q6ISB0	sp|P08670|VIME_HUMAN;tr|B0YJC4|B0YJC4_HUMAN;tr|B0YJC5|B0YJC5_HUMAN	8;7;6;2;1;1;1;1;1;1;1;1;1;1;1;1;1	7;6;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1	7;6;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1	sp|P08670|VIME_HUMAN Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4;tr|B0YJC4|B0YJC4_HUMAN Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=1;tr|B0YJC5|B0YJC5_HUMAN Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=1	17	8	7	7	21.9	20	20	53.651	466	466;431;228;470;149;600;600;499;483;483;469;470;200;469;469;457;600	0	42.758	46931000	8				277	774;1347;1358;2267;2975;3117;3992;4218	True;False;True;True;True;True;True;True	787;1367;1378;2299;3028;3172;4094;4325	938;1620;1633;2728;3612;3772;4942;5237	1145;1969;1970;1986;1987;3368;4457;4655;6119;6481	1145;1969;1987;3368;4457;4655;6119;6481			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	20.8	29.7	25	29.7	29.7	29.7	29.7	29.7	29.7
sp|P08708|RS17_HUMAN;tr|H3BNC9|H3BNC9_HUMAN;tr|H0YN88|H0YN88_HUMAN;tr|A0A075B716|A0A075B716_HUMAN	sp|P08708|RS17_HUMAN;tr|H3BNC9|H3BNC9_HUMAN;tr|H0YN88|H0YN88_HUMAN;tr|A0A075B716|A0A075B716_HUMAN	2;2;1;1	2;2;1;1	2;2;1;1	sp|P08708|RS17_HUMAN 40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=1 SV=2;tr|H3BNC9|H3BNC9_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=2;tr|H0YN88|H0YN88_HUMAN 40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=	4	2	2	2	35.6	35.6	35.6	15.55	135	135;584;136;191	0	12.381	16001000	2				278	878;2958	True;True	892;3011	1067;3592	1304;4434	1304;4434			-1;-1;-1;-1	19.6	12.6	19.6	23.2	16.1	23.2	23.2	23.2	23.2
sp|P08754|GNAI3_HUMAN	sp|P08754|GNAI3_HUMAN	6	2	2	sp|P08754|GNAI3_HUMAN Guanine nucleotide-binding protein G(i) subunit alpha OS=Homo sapiens OX=9606 GN=GNAI3 PE=1 SV=3	1	6	2	2	20.3	7.6	7.6	40.532	354	354	0	11.955	5757000	2				279	766;1117;1350;2829;3007;5218	True;False;True;False;False;False	779;1134;1370;2880;3060;5335	927;1352;1624;3440;3647;3648;3649;6444;6445	1129;1649;1974;4242;4501;4502;4503;4504;7943;7944	1129;1649;1974;4242;4502;7943			-1	0	0	0	0	0	0	10.3	10.3	10.3
tr|D6RBL5|D6RBL5_HUMAN;sp|P08758|ANXA5_HUMAN;tr|E9PHT9|E9PHT9_HUMAN;tr|D6RBE9|D6RBE9_HUMAN	tr|D6RBL5|D6RBL5_HUMAN;sp|P08758|ANXA5_HUMAN;tr|E9PHT9|E9PHT9_HUMAN;tr|D6RBE9|D6RBE9_HUMAN	2;2;1;1	2;2;1;1	2;2;1;1	tr|D6RBL5|D6RBL5_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1;sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2;tr|E9PHT9|E9PHT9_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1;tr|D6RBE9|D6RBE9_HUMAN Annexin O	4	2	2	2	7.7	7.7	7.7	29.337	260	260;320;163;220	0	11.429	18857000	2				280	3697;5620	True;True	3788;5745	4510;6940	5574;8579	5574;8579			-1;-1;-1;-1	2.4	2.4	2.4	7.2	4.8	7.2	7.2	7.2	4.8
tr|F8WD59|F8WD59_HUMAN;tr|C9J9K3|C9J9K3_HUMAN;sp|P08865|RSSA_HUMAN;tr|A0A0C4DG17|A0A0C4DG17_HUMAN	tr|F8WD59|F8WD59_HUMAN;tr|C9J9K3|C9J9K3_HUMAN;sp|P08865|RSSA_HUMAN;tr|A0A0C4DG17|A0A0C4DG17_HUMAN	3;3;3;3	3;3;3;3	3;3;3;3	tr|F8WD59|F8WD59_HUMAN 40S ribosomal protein SA (Fragment) OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=2;tr|C9J9K3|C9J9K3_HUMAN 40S ribosomal protein SA (Fragment) OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=8;sp|P08865|RSSA_HUMAN 40S ribosomal protein SA OS=Homo 	4	3	3	3	25	25	25	12.647	116	116;263;295;300	0	114.96	45448000	4				281	1353;4418;4419	True;True;True	1373;4527;4528	1628;5465;5466	1978;1979;6746;6747	1978;6746;6747			-1;-1;-1;-1	5.4	0	6.5	15.3	12.4	15.3	15.3	5.4	9.3
sp|P09104|ENOG_HUMAN;tr|F5H0C8|F5H0C8_HUMAN;tr|F5H1C3|F5H1C3_HUMAN;tr|U3KQP4|U3KQP4_HUMAN;tr|U3KQQ1|U3KQQ1_HUMAN;tr|E5RI09|E5RI09_HUMAN;tr|E5RG95|E5RG95_HUMAN	sp|P09104|ENOG_HUMAN;tr|F5H0C8|F5H0C8_HUMAN	15;12;4;3;2;2;2	15;12;4;3;2;2;2	12;9;2;3;1;0;0	sp|P09104|ENOG_HUMAN Gamma-enolase OS=Homo sapiens OX=9606 GN=ENO2 PE=1 SV=3;tr|F5H0C8|F5H0C8_HUMAN Gamma-enolase OS=Homo sapiens OX=9606 GN=ENO2 PE=1 SV=1	7	15	15	12	44.9	44.9	38	47.268	434	434;315;103;73;86;148;154	0	187.29	1131400000	23				282	88;89;97;737;738;770;999;1484;1789;2106;2704;2717;2776;5655;5956	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	87;88;96;749;750;783;1014;1505;1817;2138;2754;2767;2827;5781;6084	106;107;117;892;893;932;1220;1774;1775;2143;2503;3291;3306;3380;6991;7341	124;125;126;127;128;129;141;1083;1084;1134;1490;1491;2170;2171;2172;2639;3081;4059;4076;4077;4171;8642;9073	125;129;141;1083;1084;1134;1491;2171;2639;3081;4059;4077;4171;8642;9073			-1;-1;-1;-1;-1;-1;-1	0	0	0	6.2	6.2	6.2	6.2	6.2	6.2
sp|P09417|DHPR_HUMAN	sp|P09417|DHPR_HUMAN	3	3	3	sp|P09417|DHPR_HUMAN Dihydropteridine reductase OS=Homo sapiens OX=9606 GN=QDPR PE=1 SV=2	1	3	3	3	16.8	16.8	16.8	25.789	244	244	0	24.488	87118000	5				283	54;3857;3858	True;True;True	54;3954;3955;3956;3957	64;4755;4756;4757;4758	74;5878;5879;5880;5881	74;5879;5881	42	189	-1	16.7	12.2	11.7	35.5	29.1	23.1	35.5	33.4	35.5
tr|Q5T7C4|Q5T7C4_HUMAN;sp|P09429|HMGB1_HUMAN	tr|Q5T7C4|Q5T7C4_HUMAN;sp|P09429|HMGB1_HUMAN	2;2	2;2	2;2	tr|Q5T7C4|Q5T7C4_HUMAN High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=1;sp|P09429|HMGB1_HUMAN High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3	2	2	2	2	20.9	20.9	20.9	18.311	158	158;215	0.00097276	10.718	0	2				284	2582;2604	True;True	2629;2651	3143;3174	3882;3921	3882;3921			-1;-1	8.9	8.9	4.5	4.5	8.9	8.9	8.9	16.2	8.9
